microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,homicides_start,population_start,rate_start_per_100k,homicides_end,population_end,rate_end_per_100k,delta_rate_per_100k,rate_average_2015_2017_per_100k,rate_average_2022_2024_per_100k,delta_average_rate_per_100k,visual_scale_limit,visual_value_clipped,visually_clipped
41001,Paranavaí,PR,Sul,2016,2024,85,286640.0,29.653921295004185,52,288715.0,18.010841140917513,-11.643080154086672,26.398541218938103,20.895714043904345,-5.502827175033758,45.0,-11.643080154086672,0
41002,Umuarama,PR,Sul,2016,2024,70,277906.0,25.188373047001505,53,298416.0,17.760441799367324,-7.427931247634181,24.58906278487329,19.827781554498074,-4.761281230375214,45.0,-7.427931247634181,0
41003,Cianorte,PR,Sul,2016,2024,46,155856.0,29.514423570475312,19,157993.0,12.025849246485604,-17.48857432398971,22.458163649430205,17.74283365879676,-4.715329990633446,45.0,-17.48857432398971,0
41004,Goioerê,PR,Sul,2016,2024,28,114639.0,24.42449777126458,15,117108.0,12.808689414899067,-11.615808356365513,29.6569389968395,19.20403571377388,-10.45290328306562,45.0,-11.615808356365513,0
41005,Campo Mourão,PR,Sul,2016,2024,62,225148.0,27.537442038126034,46,231688.0,19.854286799488968,-7.683155238637067,23.54028052907891,22.700633216701554,-0.8396473123773553,45.0,-7.683155238637067,0
41006,Astorga,PR,Sul,2016,2024,32,195521.0,16.36652840359859,33,208218.0,15.848773881220644,-0.5177545223779454,16.196595986994986,18.678276433618624,2.4816804466236384,45.0,-0.5177545223779454,0
41007,Porecatu,PR,Sul,2016,2024,18,85057.0,21.16227941262918,25,80664.0,30.992760091242687,9.830480678613508,22.33796160221969,22.003570390667164,-0.33439121155252494,45.0,9.830480678613508,0
41008,Floraí,PR,Sul,2016,2024,3,36294.0,8.265829062654984,5,39854.0,12.545792141315802,4.279963078660819,9.184085816097866,13.56995950215211,4.385873686054245,45.0,4.279963078660819,0
41009,Maringá,PR,Sul,2016,2024,90,603235.0,14.919558712607856,138,682123.0,20.230955414199492,5.311396701591637,16.302305532836712,18.3303315542423,2.028026021405587,45.0,5.311396701591637,0
41010,Apucarana,PR,Sul,2016,2024,63,314606.0,20.025047201896975,55,329772.0,16.678189779605304,-3.34685742229167,18.119090103798015,18.911683977538264,0.7925938737402483,45.0,-3.34685742229167,0
41011,Londrina,PR,Sul,2016,2024,188,791907.0,23.740161407842084,150,830082.0,18.070503877930133,-5.669657529911952,22.436644892316732,18.64709212706276,-3.7895527652539727,45.0,-5.669657529911952,0
41012,Faxinal,PR,Sul,2016,2024,11,47240.0,23.285351397121083,8,46673.0,17.140530927945495,-6.144820469175588,19.756431424015354,16.532252267793734,-3.22417915622162,45.0,-6.144820469175588,0
41013,Ivaiporã,PR,Sul,2016,2024,24,136714.0,17.55489562151645,13,134383.0,9.673842673552459,-7.881052947963992,17.066635459104685,13.466854703860124,-3.599780755244561,45.0,-7.881052947963992,0
41014,Assaí,PR,Sul,2016,2024,16,72582.0,22.04403295582927,17,66190.0,25.683638011784257,3.6396050559549877,27.095043903155883,21.1864406779661,-5.908603225189783,45.0,3.6396050559549877,0
41015,Cornélio Procópio,PR,Sul,2016,2024,32,179059.0,17.871204463333314,38,168902.0,22.498253425063055,4.6270489617297414,15.450915420199745,20.025021363327248,4.574105943127503,45.0,4.6270489617297414,0
41016,Jacarezinho,PR,Sul,2016,2024,20,128315.0,15.586642247593812,18,129366.0,13.914011409489357,-1.672630838104455,13.768558328029407,15.11402620720027,1.3454678791708634,45.0,-1.672630838104455,0
41017,Ibaiti,PR,Sul,2016,2024,9,81513.0,11.041183614883515,5,78999.0,6.329194040430892,-4.711989574452623,11.859291550459242,10.638818495373178,-1.2204730550860639,45.0,-4.711989574452623,0
41018,Wenceslau Braz,PR,Sul,2016,2024,6,103040.0,5.8229813664596275,15,111588.0,13.442305624260673,7.619324257801045,8.734613331607978,12.707979703540987,3.9733663719330092,45.0,7.619324257801045,0
41019,Telêmaco Borba,PR,Sul,2016,2024,96,170773.0,56.21497543522688,44,171558.0,25.6473029529372,-30.567672482289684,42.5534406799181,32.03087540578993,-10.52256527412817,45.0,-30.567672482289684,0
41020,Jaguariaíva,PR,Sul,2016,2024,19,106865.0,17.779441351237544,15,103885.0,14.439043172739087,-3.3403981784984573,14.660789873449309,16.851056107535662,2.1902662340863532,45.0,-3.3403981784984573,0
41021,Ponta Grossa,PR,Sul,2016,2024,103,468117.0,22.003046246985264,126,506818.0,24.86099546582797,2.8579492188427054,20.223987785850756,23.307166350881353,3.0831785650305967,45.0,2.8579492188427054,0
41022,Toledo,PR,Sul,2016,2024,88,407741.0,21.58232799742974,92,456636.0,20.147338361408213,-1.4349896360215268,20.76583415292974,19.202665151293555,-1.5631690016361866,45.0,-1.4349896360215268,0
41023,Cascavel,PR,Sul,2016,2024,121,466570.0,25.933943459716655,111,520587.0,21.32208449308185,-4.611858966634806,25.077787581851112,21.720349521516354,-3.357438060334758,45.0,-4.611858966634806,0
41024,Foz do Iguaçu,PR,Sul,2016,2024,137,427754.0,32.027754269977606,119,479089.0,24.838808655594264,-7.188945614383343,31.95042540822513,28.385783323741627,-3.564642084483502,45.0,-7.188945614383343,0
41025,Capanema,PR,Sul,2016,2024,9,99362.0,9.057788691854029,6,106340.0,5.642279480910288,-3.415509210943741,11.741814278046162,10.470157671056201,-1.2716566069899606,45.0,-3.415509210943741,0
41026,Francisco Beltrão,PR,Sul,2016,2024,44,257934.0,17.058627400807957,41,289163.0,14.178854141089973,-2.879773259717984,16.413061178070084,13.13994155072428,-3.273119627345803,45.0,-2.879773259717984,0
