ano,uf,pib_estadual_reais_dez_2025,populacao,pib_per_capita_reais_dez_2025,custo_total_reais_dez_2025,custo_total_pib_pct,componente,valor_reais_dez_2025,participacao_pib_pct,composicao_total_pct,status_ano
2025,GO,390802484261.62,7558218.0,51705.63805669802,13604992187.360611,3.481296239215523,Public security,5052444307.04,1.2928383289543461,37.13669392426297,Preliminary: state productive losses and the incarceration concept are under review
2025,MA,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Medical and therapeutic services,1085773.1169,0.0006269566273306855,0.010677976630805493,Preliminary: state productive losses and the incarceration concept are under review
2025,MA,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Incarceration and incarceration benefit,524233935.85728,0.302707752882817,5.155550113583055,Preliminary: state productive losses and the incarceration concept are under review
2025,MA,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Judicial costs,1681115024.2400002,0.9707241681961135,16.532834220267418,Preliminary: state productive losses and the incarceration concept are under review
2025,MA,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Productive-capacity losses,1030652305.0,0.5951282851230418,10.135894005827929,Preliminary: state productive losses and the incarceration concept are under review
2025,MA,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Insurance and material losses,3347478890.94366,1.932930593749443,32.9205989844959,Preliminary: state productive losses and the incarceration concept are under review
2025,MA,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Private security,1127796196.4,0.6512219621260357,11.091250319268726,Preliminary: state productive losses and the incarceration concept are under review
2025,MA,173181535941.77,7298196.0,23729.36215220446,10168341385.64784,5.871492783772752,Public security,2455979260.09,1.4181530650679706,24.15319437992616,Preliminary: state productive losses and the incarceration concept are under review
2025,MG,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Medical and therapeutic services,13174244.233000001,0.001167927443563858,0.03779964200080038,Preliminary: state productive losses and the incarceration concept are under review
2025,MG,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Incarceration and incarceration benefit,3240538050.511182,0.2872812477261239,9.297776482120135,Preliminary: state productive losses and the incarceration concept are under review
2025,MG,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Judicial costs,9063876649.109999,0.8035337812439042,26.006143989464633,Preliminary: state productive losses and the incarceration concept are under review
2025,MG,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Productive-capacity losses,1966591359.0,0.17434290558378499,5.642558921586033,Preliminary: state productive losses and the incarceration concept are under review
2025,MG,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Insurance and material losses,2614430862.23813,0.23177538683089266,7.501344963751376,Preliminary: state productive losses and the incarceration concept are under review
2025,MG,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Private security,5164789209.06,0.45787059589907375,14.818852577747329,Preliminary: state productive losses and the incarceration concept are under review
2025,MG,1128001941010.96,21834171.0,51662.22894429837,34852828057.79231,3.089784404675388,Public security,12789427683.64,1.1338125599480449,36.69552342332969,Preliminary: state productive losses and the incarceration concept are under review
2025,MS,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Medical and therapeutic services,2910425.991,0.0013599941556554497,0.05227832087314178,Preliminary: state productive losses and the incarceration concept are under review
2025,MS,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Incarceration and incarceration benefit,661049048.6975099,0.3088973386061986,11.874046750393232,Preliminary: state productive losses and the incarceration concept are under review
2025,MS,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Judicial costs,1424904752.12,0.6658345346149972,25.594750759973515,Preliminary: state productive losses and the incarceration concept are under review
2025,MS,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Productive-capacity losses,466963028.9,0.21820413649926299,8.387790356538353,Preliminary: state productive losses and the incarceration concept are under review
2025,MS,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Insurance and material losses,300266741.75845,0.14030970558673658,5.393520096962688,Preliminary: state productive losses and the incarceration concept are under review
2025,MS,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Private security,512384623.35200006,0.23942889987970797,9.203672532094204,Preliminary: state productive losses and the incarceration concept are under review
2025,MS,214002830739.91,2951121.0,72515.7764591523,5567175728.658959,2.601449574012911,Public security,2198697107.84,1.0274149646703523,39.49394118316488,Preliminary: state productive losses and the incarceration concept are under review
2025,MT,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Medical and therapeutic services,894259.9387,0.0002822499397510192,0.009469274031948152,Preliminary: state productive losses and the incarceration concept are under review
2025,MT,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Incarceration and incarceration benefit,758097519.947286,0.23927380627334652,8.027456949214148,Preliminary: state productive losses and the incarceration concept are under review
2025,MT,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Judicial costs,2142910396.99,0.6763540490492288,22.69117165698783,Preliminary: state productive losses and the incarceration concept are under review
2025,MT,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Productive-capacity losses,792205252.7,0.25003902687407276,8.38862203563568,Preliminary: state productive losses and the incarceration concept are under review
2025,MT,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Insurance and material losses,519540229.89727,0.1639793892589087,5.501385664967161,Preliminary: state productive losses and the incarceration concept are under review
2025,MT,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Private security,1313772901.6320002,0.41465831833103195,13.91147593996662,Preliminary: state productive losses and the incarceration concept are under review
2025,MT,316832641129.65,3722274.0,85118.03298995453,9443806734.105257,2.980692488133124,Public security,3916386173.0,1.2361056484067843,41.4704184791966,Preliminary: state productive losses and the incarceration concept are under review
2025,PA,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Medical and therapeutic services,6976082.353,0.002361515700319326,0.04634977119928435,Preliminary: state productive losses and the incarceration concept are under review
2025,PA,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Incarceration and incarceration benefit,458537664.545478,0.15522234962525003,3.0465689426383276,Preliminary: state productive losses and the incarceration concept are under review
2025,PA,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Judicial costs,2589499330.31,0.8765870319555051,17.20488598144973,Preliminary: state productive losses and the incarceration concept are under review
2025,PA,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Productive-capacity losses,1497816321.0,0.5070348340591088,9.951637647604452,Preliminary: state productive losses and the incarceration concept are under review
2025,PA,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Insurance and material losses,2639225712.8571,0.8934202095418566,17.53527291454478,Preliminary: state productive losses and the incarceration concept are under review
2025,PA,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Private security,2365190839.9360003,0.8006550123879134,15.714558505252326,Preliminary: state productive losses and the incarceration concept are under review
2025,PA,295406985947.91,9106465.0,32439.260014496293,15050953160.061579,5.094988905480915,Public security,5493707209.059999,1.8597079522109614,36.50072623731109,Preliminary: state productive losses and the incarceration concept are under review
2025,PB,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Medical and therapeutic services,1994441.3965,0.0017723963380029968,0.027836445169055774,Preliminary: state productive losses and the incarceration concept are under review
2025,PB,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Incarceration and incarceration benefit,404681352.04267204,0.35962738623317253,5.648143027337729,Preliminary: state productive losses and the incarceration concept are under review
2025,PB,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Judicial costs,772244646.04,0.6862691403646446,10.778228823525797,Preliminary: state productive losses and the incarceration concept are under review
2025,PB,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Productive-capacity losses,499014737.5,0.4434584515276464,6.96475534620679,Preliminary: state productive losses and the incarceration concept are under review
2025,PB,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Insurance and material losses,2427555499.16759,2.157291001166638,33.881424476048,Preliminary: state productive losses and the incarceration concept are under review
2025,PB,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Private security,602735186.2980001,0.5356315000555241,8.412383033308593,Preliminary: state productive losses and the incarceration concept are under review
2025,PB,112527957417.65,4135286.0,27211.65051646972,7164856663.224762,6.367179168313025,Public security,2456630800.7799997,2.1831292926273957,34.28722884840404,Preliminary: state productive losses and the incarceration concept are under review
2025,PE,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Medical and therapeutic services,3459997.7651,0.0011022883200368155,0.018883696752357293,Preliminary: state productive losses and the incarceration concept are under review
2025,PE,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Incarceration and incarceration benefit,689557466.082042,0.21967966237528752,3.7634111253366194,Preliminary: state productive losses and the incarceration concept are under review
2025,PE,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Judicial costs,2188405520.5299997,0.697183642462436,11.943703154293441,Preliminary: state productive losses and the incarceration concept are under review
2025,PE,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Productive-capacity losses,1551683130.0,0.4943362125402223,8.468651043137807,Preliminary: state productive losses and the incarceration concept are under review
2025,PE,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Insurance and material losses,8196558006.4503,2.611264737262998,44.73451323239229,Preliminary: state productive losses and the incarceration concept are under review
2025,PE,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Private security,1650153295.9860003,0.5257069015427678,9.006073573403569,Preliminary: state productive losses and the incarceration concept are under review
2025,PE,313892264138.7,9890556.0,31736.564065629882,18322671722.99344,5.837248577396343,Public security,4042854306.1800003,1.2879751328925961,22.064764174683937,Preliminary: state productive losses and the incarceration concept are under review
2025,PI,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Medical and therapeutic services,1472222.1396,0.001567764149932437,0.022539391497957754,Preliminary: state productive losses and the incarceration concept are under review
2025,PI,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Incarceration and incarceration benefit,504426739.65414596,0.5371622511477362,7.722660501622582,Preliminary: state productive losses and the incarceration concept are under review
2025,PI,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Judicial costs,1327563227.23,1.4137173857372436,20.324695921879762,Preliminary: state productive losses and the incarceration concept are under review
2025,PI,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Productive-capacity losses,261708452.9,0.2786924059587765,4.006697847812978,Preliminary: state productive losses and the incarceration concept are under review
2025,PI,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Insurance and material losses,1988486422.72307,2.117532159256645,30.443282141040278,Preliminary: state productive losses and the incarceration concept are under review
2025,PI,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Private security,479260295.97,0.5103625942698568,7.337367880658201,Preliminary: state productive losses and the incarceration concept are under review
2025,PI,93905842895.02,3313867.0,28337.23951354113,6531774115.256816,6.9556631556556825,Public security,1968856754.64,2.096628595135492,30.14275631548824,Preliminary: state productive losses and the incarceration concept are under review
2025,PR,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Medical and therapeutic services,4975567.9038,0.0006390264715975117,0.022570222022888303,Preliminary: state productive losses and the incarceration concept are under review
2025,PR,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Incarceration and incarceration benefit,4372728230.499594,0.5616020414990012,19.83561453010258,Preliminary: state productive losses and the incarceration concept are under review
2025,PR,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Judicial costs,3067967377.86,0.3940278590013493,13.916945003281787,Preliminary: state productive losses and the incarceration concept are under review
2025,PR,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Productive-capacity losses,1699413031.0,0.21826049487886054,7.7088947754015695,Preliminary: state productive losses and the incarceration concept are under review
2025,PR,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Insurance and material losses,1857566267.82377,0.23857256916932162,8.426311106113234,Preliminary: state productive losses and the incarceration concept are under review
2025,PR,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Private security,3676723487.34,0.4722121539855124,16.67839069438768,Preliminary: state productive losses and the incarceration concept are under review
2025,PR,778616868775.64,11893264.0,65467.0466219904,22044833669.577164,2.8312812826984133,Public security,7365459707.15,0.9459671376927709,33.411273668690264,Preliminary: state productive losses and the incarceration concept are under review
2025,RJ,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Medical and therapeutic services,8361644.938999999,0.0006143101587424658,0.015523391047457171,Preliminary: state productive losses and the incarceration concept are under review
2025,RJ,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Incarceration and incarceration benefit,2183012684.41509,0.16038074786517198,4.052762322360392,Preliminary: state productive losses and the incarceration concept are under review
2025,RJ,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Judicial costs,5180422738.91,0.3805933328082064,9.617453091335939,Preliminary: state productive losses and the incarceration concept are under review
2025,RJ,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Productive-capacity losses,2196568211.0,0.16137664015059705,4.077928152955553,Preliminary: state productive losses and the incarceration concept are under review
2025,RJ,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Insurance and material losses,21433203077.1065,1.5746464338907276,39.79073438213669,Preliminary: state productive losses and the incarceration concept are under review
2025,RJ,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Private security,5491638239.4800005,0.4034575951576595,10.195224564607324,Preliminary: state productive losses and the incarceration concept are under review
2025,RJ,1361143848917.76,17805632.0,76444.56815224307,53864809006.210594,3.9573193567335503,Public security,17371602410.36,1.2762502967024458,32.25037409555664,Preliminary: state productive losses and the incarceration concept are under review
2025,RN,118071891809.3,3660428.0,32256.307680222097,5735362122.766879,4.857516920310012,Medical and therapeutic services,11415628.4349,0.009668370905191884,0.19903936648716475,Preliminary: state productive losses and the incarceration concept are under review
2025,RN,118071891809.3,3660428.0,32256.307680222097,5735362122.766879,4.857516920310012,Incarceration and incarceration benefit,458116835.30073,0.38799821725618033,7.987583442764782,Preliminary: state productive losses and the incarceration concept are under review
