year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,51008,Paranatinga,MT,Centro-Oeste,9,44549.0,20.202473680666234,56.630824372759854,5.939866666666667
2024,41009,Maringá,PR,Sul,138,682123.0,20.230955414199492,56.81003584229391,90.94973333333333
2024,13010,Parintins,AM,Norte,57,279733.0,20.37657337532576,56.98924731182796,37.29773333333333
2024,41029,Guarapuava,PR,Sul,82,398554.0,20.574376370579646,57.168458781362006,53.14053333333333
2024,11004,Ji-Paraná,RO,Norte,64,310174.0,20.633579861626053,57.34767025089606,41.35653333333333
2024,43013,Soledade,RS,Sul,14,67809.0,20.646226902033654,57.526881720430104,9.0412
2024,27003,Santana do Ipanema,AL,Nordeste,36,173698.0,20.725627238079884,57.70609318996416,23.15973333333333
2024,52004,Porangatu,GO,Centro-Oeste,48,230726.0,20.80389726342068,57.88530465949821,30.763466666666666
2024,35017,Araçatuba,SP,Sudeste,60,288230.0,20.816708878326338,58.064516129032256,38.43066666666667
2024,21007,Gurupi,MA,Nordeste,51,243918.0,20.908666027107472,58.24372759856631,32.5224
2024,24004,Vale do Açu,RN,Nordeste,31,147921.0,20.957132523441565,58.422939068100355,19.7228
2024,15010,Bragantina,PA,Norte,90,427828.0,21.036491300242155,58.60215053763441,57.043733333333336
2024,29009,Irecê,BA,Nordeste,85,402592.0,21.11318655114856,58.78136200716846,53.67893333333333
2024,43018,Santa Maria,RS,Sul,80,377820.0,21.17410407072151,58.96057347670251,50.376
2024,17003,Miracema do Tocantins,TO,Norte,31,146231.0,21.19933529826097,59.13978494623656,19.497466666666668
2024,22010,Alto Médio Gurguéia,PI,Nordeste,21,98985.0,21.215335656917716,59.318996415770606,13.198
2024,41023,Cascavel,PR,Sul,111,520587.0,21.32208449308185,59.49820788530466,69.4116
2024,51009,Norte Araguaia,MT,Centro-Oeste,29,135995.0,21.324313393874775,59.67741935483871,18.132666666666665
2024,31012,Araçuaí,MG,Sudeste,31,145103.0,21.36413444243055,59.85663082437276,19.347066666666667
2024,33017,Itaguaí,RJ,Sudeste,54,252341.0,21.399614014369444,60.03584229390681,33.645466666666664
2024,23018,Sertão de Cratéus,CE,Nordeste,54,252319.0,21.401479872700826,60.215053763440864,33.64253333333333
