microrregion_code,microrregion_name,uf,macroregion,year,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,population_status,homicide_definition,sim_status
17005,Gurupi,TO,Norte,2015,65,147284.0,44.13242443171016,88.17204301075269,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
17006,Porto Nacional,TO,Norte,2015,129,375255.0,34.37662389575089,75.08960573476702,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
17007,Jalapão,TO,Norte,2015,18,77860.0,23.118417672745956,54.659498207885306,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
17008,Dianópolis,TO,Norte,2015,24,123693.0,19.402876476437633,45.69892473118279,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21001,Litoral Ocidental Maranhense,MA,Nordeste,2015,44,187243.0,23.498875792419476,55.7347670250896,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21002,Aglomeração Urbana de São Luís,MA,Nordeste,2015,1005,1395792.0,72.00213212283779,99.10394265232975,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21003,Rosário,MA,Nordeste,2015,40,172687.0,23.16329544204254,55.017921146953405,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21004,Lençóis Maranhenses,MA,Nordeste,2015,14,191719.0,7.302353965960599,8.78136200716846,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21005,Baixada Maranhense,MA,Nordeste,2015,163,590620.0,27.598117232738478,63.44086021505376,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21006,Itapecuru Mirim,MA,Nordeste,2015,51,229914.0,22.18220726010595,52.1505376344086,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21007,Gurupi,MA,Nordeste,2015,56,235816.0,23.747328425552126,56.630824372759854,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21008,Pindaré,MA,Nordeste,2015,183,650498.0,28.132292489754004,64.87455197132617,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21009,Imperatriz,MA,Nordeste,2015,240,586584.0,40.91485618428051,84.76702508960574,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21010,Médio Mearim,MA,Nordeste,2015,93,416015.0,22.35496316238597,52.32974910394265,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21011,Alto Mearim e Grajaú,MA,Nordeste,2015,84,328081.0,25.603433298484216,60.215053763440864,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21012,Presidente Dutra,MA,Nordeste,2015,50,195258.0,25.6071454178574,60.39426523297491,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21013,Baixo Parnaíba Maranhense,MA,Nordeste,2015,18,142624.0,12.620596814000448,25.806451612903224,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21014,Chapadinha,MA,Nordeste,2015,35,238969.0,14.646251187392506,32.07885304659498,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21015,Codó,MA,Nordeste,2015,76,272267.0,27.913775815651547,63.97849462365591,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21016,Coelho Neto,MA,Nordeste,2015,23,91578.0,25.115202341173646,59.13978494623656,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21017,Caxias,MA,Nordeste,2015,133,434610.0,30.60214905317411,70.43010752688173,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21018,Chapadas do Alto Itapecuru,MA,Nordeste,2015,29,216408.0,13.400613655687405,27.77777777777778,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21019,Porto Franco,MA,Nordeste,2015,43,117278.0,36.66501816197411,77.59856630824373,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21020,Gerais de Balsas,MA,Nordeste,2015,38,139570.0,27.226481335530558,63.08243727598566,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
21021,Chapadas das Mangabeiras,MA,Nordeste,2015,6,70710.0,8.485362749257531,12.186379928315413,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22001,Baixo Parnaíba Piauiense,PI,Nordeste,2015,53,337635.0,15.69742473381018,36.02150537634409,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22002,Litoral Piauiense,PI,Nordeste,2015,46,313407.0,14.677400313330589,32.61648745519713,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22003,Teresina,PI,Nordeste,2015,380,1033979.0,36.75122995728153,77.95698924731182,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22004,Campo Maior,PI,Nordeste,2015,16,224045.0,7.141422482090651,8.243727598566307,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22005,Médio Parnaíba Piauiense,PI,Nordeste,2015,16,132824.0,12.046015780280673,23.476702508960575,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22006,Valença do Piauí,PI,Nordeste,2015,5,105099.0,4.757419195234969,2.867383512544803,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22007,Alto Parnaíba Piauiense,PI,Nordeste,2015,2,45533.0,4.392418685349088,2.3297491039426523,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22008,Bertolínia,PI,Nordeste,2015,2,41464.0,4.823461315840247,3.225806451612903,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22009,Floriano,PI,Nordeste,2015,24,122905.0,19.527277165290265,45.878136200716845,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
22010,Alto Médio Gurguéia,PI,Nordeste,2015,5,91168.0,5.484380484380484,3.763440860215054,estimativa IBGE em 1º de julho,"CAUSABAS X85-X99, Y00-Y09, Y35 ou Y36; todas as idades; residência",final
