uf,year,population,source,status
SE,2019,2241300,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2019,45306139,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2019,1525148,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2020,863657,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2020,3214823,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2020,4121226,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2020,785533,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2020,14748551,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2020,9088929,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2020,2921417,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2020,4001467,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2020,7060290,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2020,6970988,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2020,21032009,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2020,2806866,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2020,3611987,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2020,8465192,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2020,4064935,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2020,9438962,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2020,3335863,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2020,11560987,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2020,17222305,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2020,3407618,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2020,1722753,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2020,640975,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2020,11220286,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2020,7541975,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2020,2254218,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2020,45523191,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2020,1537886,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2021,868346,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2021,3217819,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2021,4160013,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2021,790871,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2021,14788270,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2021,9129520,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2021,2938025,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2021,4027541,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2021,7133954,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2021,6988154,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2021,21117017,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2021,2831943,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2021,3666669,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2021,8520153,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2021,4087783,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2021,9470176,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2021,3347856,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2021,11630298,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2021,17220455,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2021,3419382,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2021,1729622,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2021,654972,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2021,11227789,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2021,7671648,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2021,2264937,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2021,45651915,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2021,1548514,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2022,872566,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2022,3218381,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2022,4199791,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2022,795457,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2022,14811339,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2022,9162955,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2022,2952426,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2022,4050913,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2022,7201254,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2022,6998087,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2022,21178401,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2022,2854377,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2022,3720967,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2022,8570045,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2022,4106026,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2022,9493026,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2022,3357043,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2022,11686692,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2022,17211760,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2022,3427955,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2022,1734648,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2022,673404,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2022,11220506,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2022,7796817,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2022,2273589,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2022,45736978,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2022,1557580,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2023,876582,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2023,3218607,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2023,4240571,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2023,799124,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2023,14828806,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2023,9196672,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2023,2967543,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2023,4076068,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2023,7274463,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2023,7003234,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2023,21247401,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2023,2878009,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2023,3778389,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2023,8616120,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2023,4124468,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2023,9514483,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2023,3365881,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2023,11753862,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2023,17213813,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2023,3436278,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2023,1740255,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2023,695270,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2023,11222292,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2023,7927212,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2023,2281994,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2023,45850570,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2023,1567191,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2024,880631,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2024,3220104,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2024,4281209,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2024,802837,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
BA,2024,14850513,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2024,9233656,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2024,2982818,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2024,4102129,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2024,7350483,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2024,7010960,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2024,21322691,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2024,2901895,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2024,3836399,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2024,8664306,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2024,4145040,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2024,9539029,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2024,3375646,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2024,11824665,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2024,17219679,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2024,3446071,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2024,1746227,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2024,716793,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2024,11229915,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2024,8058441,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2024,2291077,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2024,45973194,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2024,1577342,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AC,2025,884372,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AL,2025,3220848,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AM,2025,4321616,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
AP,2025,806517,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
