crime,year,uf,reporting_status,months_present,months_numeric,count_reported,measurement_concept,value_field,raw_labels,definition_version_flag,comparability_class
Homicídio doloso,2017,TO,FULL_12_MONTHS,12,12,291,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,AC,FULL_12_MONTHS,12,12,358,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,AL,FULL_12_MONTHS,12,12,1333,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,AM,FULL_12_MONTHS,12,12,1094,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,AP,FULL_12_MONTHS,12,12,298,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,BA,FULL_12_MONTHS,12,12,5444,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,CE,FULL_12_MONTHS,12,12,4402,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,DF,FULL_12_MONTHS,12,12,434,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,ES,FULL_12_MONTHS,12,12,1075,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,GO,FULL_12_MONTHS,12,12,2081,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,MA,FULL_12_MONTHS,12,12,1572,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,MG,FULL_12_MONTHS,12,12,2893,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,MS,FULL_12_MONTHS,12,12,502,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,MT,FULL_12_MONTHS,12,12,916,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,PA,FULL_12_MONTHS,12,12,3772,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,PB,FULL_12_MONTHS,12,12,1099,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,PE,FULL_12_MONTHS,12,12,3840,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,PI,FULL_12_MONTHS,12,12,512,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,PR,FULL_12_MONTHS,12,12,1888,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,RJ,FULL_12_MONTHS,12,12,5307,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,RN,FULL_12_MONTHS,12,12,1498,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,RO,FULL_12_MONTHS,12,12,430,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,RR,FULL_12_MONTHS,12,12,336,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,RS,FULL_12_MONTHS,12,12,2410,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,SC,FULL_12_MONTHS,12,12,731,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,SE,FULL_12_MONTHS,12,12,932,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,SP,FULL_12_MONTHS,12,12,2970,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2018,TO,FULL_12_MONTHS,12,12,390,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,AC,FULL_12_MONTHS,12,12,270,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,AL,FULL_12_MONTHS,12,12,1025,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,AM,FULL_12_MONTHS,12,12,1058,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,AP,FULL_12_MONTHS,12,12,225,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,BA,FULL_12_MONTHS,12,12,4905,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,CE,FULL_12_MONTHS,12,12,2155,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,DF,FULL_12_MONTHS,12,12,386,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,ES,FULL_12_MONTHS,12,12,953,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2019,GO,FULL_12_MONTHS,12,12,1627,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
