iso3,country,region,subregion,year,homicide_rate_per_100k,percentile_unweighted,included_common_sample,inclusion_reason
MLT,Malta,Europe,Southern Europe,2016,1.09825180278033,27.906976744186046,1,INCLUDED_OBSERVED_BOTH_YEARS
MMR,Myanmar,Asia,South-eastern Asia,2016,2.60021730748139,,0,MISSING_2024
MNE,Montenegro,Europe,Southern Europe,2016,4.48539323682796,59.30232558139535,1,INCLUDED_OBSERVED_BOTH_YEARS
MNG,Mongolia,Asia,Eastern Asia,2016,6.05101532090771,66.27906976744185,1,INCLUDED_OBSERVED_BOTH_YEARS
MOZ,Mozambique,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
MRT,Mauritania,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
MSR,Montserrat,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016_AND_2024
MTQ,Martinique,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016_AND_2024
MUS,Mauritius,Africa,Sub-Saharan Africa,2016,1.62563423926317,40.69767441860465,1,INCLUDED_OBSERVED_BOTH_YEARS
MWI,Malawi,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
MYS,Malaysia,Asia,South-eastern Asia,2016,1.4344275283881,37.2093023255814,1,INCLUDED_OBSERVED_BOTH_YEARS
MYT,Mayotte,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
NAM,Namibia,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
NCL,New Caledonia,Oceania,Melanesia,2016,,,0,MISSING_2016_AND_2024
NER,Niger,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
NGA,Nigeria,Africa,Sub-Saharan Africa,2016,32.4390092901434,,0,MISSING_2024
NIC,Nicaragua,Americas,Latin America and the Caribbean,2016,7.26815838263741,,0,MISSING_2024
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2016,0.546362553519554,10.465116279069768,1,INCLUDED_OBSERVED_BOTH_YEARS
NOR,Norway,Europe,Northern Europe,2016,0.515662484007301,8.13953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
NPL,Nepal,Asia,Southern Asia,2016,2.20708210796159,,0,MISSING_2024
NZL,New Zealand,Oceania,Australia and New Zealand,2016,1.06049711862933,,0,MISSING_2024
OMN,Oman,Asia,Western Asia,2016,0.364391855614282,,0,MISSING_2024
PAK,Pakistan,Asia,Southern Asia,2016,3.86846723526245,58.13953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
PAN,Panama,Americas,Latin America and the Caribbean,2016,10.0519063068018,74.4186046511628,1,INCLUDED_OBSERVED_BOTH_YEARS
PER,Peru,Americas,Latin America and the Caribbean,2016,7.88881315592262,,0,MISSING_2024
PHL,Philippines,Asia,South-eastern Asia,2016,10.4510468515231,76.74418604651163,1,INCLUDED_OBSERVED_BOTH_YEARS
PLW,Palau,Oceania,Micronesia,2016,0.0,,0,MISSING_2024
PNG,Papua New Guinea,Oceania,Melanesia,2016,,,0,MISSING_2016_AND_2024
POL,Poland,Europe,Eastern Europe,2016,0.67950291225801,16.27906976744186,1,INCLUDED_OBSERVED_BOTH_YEARS
PRI,Puerto Rico,Americas,Latin America and the Caribbean,2016,20.2531208577657,87.20930232558139,1,INCLUDED_OBSERVED_BOTH_YEARS
PRT,Portugal,Europe,Southern Europe,2016,0.637904765071273,,0,MISSING_2024
PRY,Paraguay,Americas,Latin America and the Caribbean,2016,10.7054970567084,77.90697674418605,1,INCLUDED_OBSERVED_BOTH_YEARS
PSE,State of Palestine,Asia,Western Asia,2016,0.410124550508889,5.813953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
PYF,French Polynesia,Oceania,Polynesia,2016,,,0,MISSING_2016_AND_2024
QAT,Qatar,Asia,Western Asia,2016,0.461649967761444,,0,MISSING_2024
REU,Réunion,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
ROU,Romania,Europe,Eastern Europe,2016,1.54724790736617,39.53488372093023,1,INCLUDED_OBSERVED_BOTH_YEARS
RUS,Russian Federation,Europe,Eastern Europe,2016,10.8822499466091,79.06976744186046,1,INCLUDED_OBSERVED_BOTH_YEARS
RWA,Rwanda,Africa,Sub-Saharan Africa,2016,3.28881602035978,,0,MISSING_2024
SAU,Saudi Arabia,Asia,Western Asia,2016,,,0,MISSING_2016
SGP,Singapore,Asia,South-eastern Asia,2016,0.32270038551043,4.651162790697675,1,INCLUDED_OBSERVED_BOTH_YEARS
SHN,Saint Helena,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
SLB,Solomon Islands,Oceania,Melanesia,2016,,,0,MISSING_2016_AND_2024
SLE,Sierra Leone,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
