microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,rate_2016_per_100k,rate_2024_per_100k,delta_rate_2016_2024_per_100k,population_2016,population_2024,bubble_area_points2,population_weighted_fitted_delta,rate_average_2015_2017_per_100k,delta_average_2015_2017_to_2022_2024_per_100k
23001,Litoral de Camocim e Acaraú,CE,Northeast,2016,2024,24.326636097065894,37.751808144355266,13.425172047289372,382297.0,418523.0,50.97293333333333,-7.1371392174138375,23.02075966762906,12.233092550180988
23002,Ibiapaba,CE,Northeast,2016,2024,22.01188641866608,33.472059716524235,11.460173297858155,313467.0,337595.0,41.7956,-5.986514280169924,19.248868730159575,12.976820194962169
23003,Coreaú,CE,Northeast,2016,2024,17.011142298205325,14.861539985798974,-2.1496023124063512,58785.0,60559.0,7.838,-3.500724588320505,20.981836534481097,6.430214138652577
23004,Meruoca,CE,Northeast,2016,2024,3.8160656363289447,7.2719339708395445,3.4558683345106,26205.0,27503.0,3.494,3.058336375237263,3.816454005368479,6.054787981959313
23005,Sobral,CE,Northeast,2016,2024,24.798725198205652,55.79051135786067,30.99178615965502,407279.0,423011.0,54.303866666666664,-7.371807137423218,35.196712790730984,9.75405320825137
23006,Ipu,CE,Northeast,2016,2024,15.055598173254088,24.587803044672526,9.532204871418438,139483.0,142347.0,18.597733333333334,-2.5286549701468415,17.92320266123713,2.5816946712187843
23007,Santa Quitéria,CE,Northeast,2016,2024,18.96350879094086,18.390414350181782,-0.5730944407590783,73826.0,70689.0,9.843466666666666,-4.471214656488009,29.800337737161023,-12.076338723956642
23008,Itapipoca,CE,Northeast,2016,2024,18.786734776035285,66.87179487179488,48.08506009575959,223562.0,243750.0,29.80826666666667,-4.383343129080478,21.47327546484422,29.286295238189858
23009,Baixo Curu,CE,Northeast,2016,2024,40.45307443365696,42.90811640896705,2.4550419753100883,113712.0,132842.0,15.1616,-15.153333051312677,54.237089373928086,-11.631320552829706
23010,Uruburetama,CE,Northeast,2016,2024,34.15836556836751,37.63534248161658,3.476976913249075,108319.0,103626.0,14.442533333333333,-12.024334239614232,33.854383065422056,5.202411750198692
23011,Médio Curu,CE,Northeast,2016,2024,33.358908496514,67.83800284919612,34.47909435268212,89931.0,88446.0,11.9908,-11.626936952246835,30.396150809390186,25.95904795769608
23012,Canindé,CE,Northeast,2016,2024,25.88031117268257,40.721488969267256,14.841177796584685,131374.0,125241.0,17.516533333333335,-7.909446177021973,27.658446102823444,11.000650950434196
23013,Baturité,CE,Northeast,2016,2024,46.10702978514124,33.267664350059,-12.839365435082243,195198.0,192379.0,26.0264,-17.963823568792215,48.159027255960105,-10.100136408330457
23014,Chorozinho,CE,Northeast,2016,2024,65.86000918976872,12.981018865747417,-52.8789903240213,65290.0,69332.0,8.705333333333334,-27.782712798983972,69.94756485466733,-50.88318591347361
23015,Cascavel,CE,Northeast,2016,2024,23.65661724289084,29.367075677677192,5.710458434786354,143723.0,156638.0,19.163066666666666,-6.804083591904316,36.64872889218779,-5.48009020972756
23016,Fortaleza,CE,Northeast,2016,2024,49.59467071587764,33.01927181973392,-16.575398896143717,3593128.0,3655441.0,479.0837333333333,-19.697473934749723,67.35831095787971,-32.32068914725102
23017,Pacajus,CE,Northeast,2016,2024,70.60572277963583,18.7388132515718,-51.86690952806403,134550.0,154759.0,17.94,-30.141730904688295,94.65895518319729,-60.93704337265232
23018,Sertão de Cratéus,CE,Northeast,2016,2024,24.368945840017872,21.401479872700826,-2.9674659673170467,246215.0,252319.0,32.82866666666666,-7.158170711999714,29.514020513598112,-3.83291662949922
23019,Sertão de Quixeramobim,CE,Northeast,2016,2024,36.88021730958815,37.42069959221929,0.540482282631146,281994.0,285938.0,37.5992,-13.377323082491733,39.72049068991892,-1.6832593724399771
