section,claim,value,display,source,calculation
4,"encarceramento: real level, 1996",1.4460223490475,"1,4",fig_08_incarceration.csv,Reported total / 1e9
4,"encarceramento: real level, 2025",13.33095663149,"13,3",fig_08_incarceration.csv,Reported total / 1e9
4,"encarceramento: GDP share, 1996",0.03100493637255052,"0,0",fig_08_incarceration.csv,100 * reported total / GDP
4,"encarceramento: GDP share, 2025",0.10496816245267716,"0,1",fig_08_incarceration.csv,100 * reported total / GDP
4,"encarceramento: real growth, 1996--2025",821.9052969873632,"821,9",fig_08_incarceration.csv,100 * (end / start - 1)
4,encarceramento: real peak year,2025,2025,fig_08_incarceration.csv,Year with maximum reported real total
4,encarceramento: real peak level,13.33095663149,"13,3",fig_08_incarceration.csv,Maximum reported total / 1e9
4,seguros_perdas: 2025 composition: Prêmios — automóveis,38.954612026108805,"39,0",fig_09_insurance_material_losses.csv,100 * component / component-group total
4,seguros_perdas: 2025 composition: Prêmios — patrimônio,32.6327356090921,"32,6",fig_09_insurance_material_losses.csv,100 * component / component-group total
4,seguros_perdas: 2025 composition: Prêmios — transporte e carga,6.295115830404964,"6,3",fig_09_insurance_material_losses.csv,100 * component / component-group total
4,seguros_perdas: 2025 composition: Perdas — patrimônio,9.037461315681824,"9,0",fig_09_insurance_material_losses.csv,100 * component / component-group total
4,seguros_perdas: 2025 composition: Perdas — transporte e carga,3.3454992732449065,"3,3",fig_09_insurance_material_losses.csv,100 * component / component-group total
4,seguros_perdas: 2025 composition: Perdas — veículos,9.734575945467395,"9,7",fig_09_insurance_material_losses.csv,100 * component / component-group total
4,"seguros_perdas: real level, 1996",57.879835916,"57,9",fig_09_insurance_material_losses.csv,Reported total / 1e9
4,"seguros_perdas: real level, 2025",96.240427662,"96,2",fig_09_insurance_material_losses.csv,Reported total / 1e9
4,"seguros_perdas: GDP share, 1996",1.2410324301082398,"1,2",fig_09_insurance_material_losses.csv,100 * reported total / GDP
4,"seguros_perdas: GDP share, 2025",0.757798643007874,"0,8",fig_09_insurance_material_losses.csv,100 * reported total / GDP
4,"seguros_perdas: real growth, 1996--2025",66.27626208490305,"66,3",fig_09_insurance_material_losses.csv,100 * (end / start - 1)
4,seguros_perdas: real peak year,2024,2024,fig_09_insurance_material_losses.csv,Year with maximum reported real total
4,seguros_perdas: real peak level,98.22079264835001,"98,2",fig_09_insurance_material_losses.csv,Maximum reported total / 1e9
4,perda_produtiva: 2025 composition: Perda de capacidade produtiva,100.0,"100,0",fig_10_productive_capacity.csv,100 * component / component-group total
4,"perda_produtiva: real level, 1996",35.50603688211,"35,5",fig_10_productive_capacity.csv,Reported total / 1e9
4,"perda_produtiva: real level, 2025",29.169191035266024,"29,2",fig_10_productive_capacity.csv,Reported total / 1e9
4,"perda_produtiva: GDP share, 1996",0.7613038727211888,"0,8",fig_10_productive_capacity.csv,100 * reported total / GDP
4,"perda_produtiva: GDP share, 2025",0.22967866956902383,"0,2",fig_10_productive_capacity.csv,100 * reported total / GDP
4,"perda_produtiva: real growth, 1996--2025",-17.847235014947117,"-17,8",fig_10_productive_capacity.csv,100 * (end / start - 1)
4,perda_produtiva: real peak year,2017,2017,fig_10_productive_capacity.csv,Year with maximum reported real total
4,perda_produtiva: real peak level,50.26795015253,"50,3",fig_10_productive_capacity.csv,Maximum reported total / 1e9
4,custos_judiciais: 2025 composition: Tribunais de Justiça,17.31240654365853,"17,3",fig_11_judicial_costs.csv,100 * component / component-group total
4,custos_judiciais: 2025 composition: Ministérios Públicos,30.853906105332516,"30,9",fig_11_judicial_costs.csv,100 * component / component-group total
4,custos_judiciais: 2025 composition: Serviços de defesa criminal,51.83368735100896,"51,8",fig_11_judicial_costs.csv,100 * component / component-group total
4,"custos_judiciais: real level, 1996",23.89849987427,"23,9",fig_11_judicial_costs.csv,Reported total / 1e9
4,"custos_judiciais: real level, 2025",73.73886514873999,"73,7",fig_11_judicial_costs.csv,Reported total / 1e9
4,"custos_judiciais: GDP share, 1996",0.5124204812527472,"0,5",fig_11_judicial_costs.csv,100 * reported total / GDP
4,"custos_judiciais: GDP share, 2025",0.5806209854231495,"0,6",fig_11_judicial_costs.csv,100 * reported total / GDP
